ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),AG Saturados (g),AG Monoinsaturados (g),AG Poliinsatuirados (g),Colesterol (mg),Sodio (mg)
Aceite,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,0.0
Aceite comestible,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,
Aceite de aguacate,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,3.5,0.7,0.0,0.0
Aceite de ajonjolí,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,2.0,2.1,0.0,0.0
,1,cucharadita,5,5,44,0.0,5.0,0.0,1.3,0.9,2.6,0.0,0.0
Aceite de almendra,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,3.5,0.9,0.0,0.0
Aceite de cachuate,1,cucharadita,5,5,44,0.0,5.0,0.0,0.9,2.3,1.6,0.0,0.0
Aceite de cacao,1,cucharadita,5,5,44,0.0,5.0,0.0,3.0,1.6,0.1,0.0,0.0
Aceite de canola,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,0.0
Aceite de cártamo,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,2.0,2.1,0.0,0.0
Aceite de coco,1,cucharadita,5,5,43,0.0,5.0,0.0,4.3,0.3,0.1,0.0,0.0
Aceite de girasol,1,cucharadita,5,5,44,0.0,5.0,0.0,0.5,1.0,3.3,0.0,0.0
Aceite de girasol 60% con ácido linoleico,1,cucharadita,5,5,44,0.0,5.0,0.0,0.5,1.0,3.3,0.0,0.0
Aceite de girasol 70% con ácido aleico,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,2.3,1.8,0.0,0.0
Aceite de hígado de bacalao,1,cucharadita,5,5,45,0.0,5.0,0.0,1.1,2.3,1.1,28.6,0.0
Aceite de maíz,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
Aceite de oliva,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de oliva extra virgen,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de olivo,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de palma,1,cucharadita,5,5,44,0.0,5.0,0.0,2.5,1.9,0.5,0.0,0.0
Aceite de soya,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,1.1,2.6,0.0,0.0
Aceite de soya y algodón,1,cucharadita,5,5,44,0.0,5.0,0.0,0.9,1.5,2.4,0.0,0.0
Aceite en spray,5,disp.de un segundo,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
Aceituna negra sin hueso,5,pieza,25,25,46,0.3,5.0,0.8,0.5,3.8,0.3,0.0,600.0
Aceituna verde con hueso,6,pieza,30,25,46,0.3,5.1,0.8,0.5,3.8,0.3,0.0,604.8
Aceituna verde sin hueso,8,pieza,24,24,44,0.3,4.8,0.8,0.5,3.6,0.2,0.0,576.0
Aceitunas rellenas de anchoa,5,pieza,25,25,46,0.6,4.5,0.8,0.0,0.0,0.0,0.0,600.0
Aceitunas rellenas de pimiento,7,pieza,35,35,44,0.0,3.5,2.6,0.9,2.6,0.0,0.0,306.3
Aderezo,3,cucharada,45,45,48,0.0,4.5,2.1,0.6,0.9,2.7,2.7,354.0
Aderezo blue cheese,1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,2.1,82.0
Aderezo con queso y ajo,1/2,cucharada,8,8,33,0.0,3.8,0.2,0.6,0.0,0.0,0.0,77.3
Aderezo cremoso,1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,2.1,82.0
Aderezo de ciruela pasas,1/2,cucharada,8,8,39,0.1,3.9,1.1,0.6,2.4,0.7,0.7,35.7
Aderezo de hierbas finas,1/2,cucharada,8,8,31,0.1,3.2,0.8,0.5,2.3,0.3,0.3,73.0
Aderezo de mayonesa,1/2,cucharada,7,7,51,0.1,5.4,0.3,0.9,3.4,1.0,1.0,41.8
Aderezo de miel y mostaza,1/2,cucharada,8,8,36,0.0,3.6,1.0,0.5,0.0,0.0,0.0,48.4
Aderezo francés,1/2,cucharada,8,8,32,0.0,3.1,1.3,0.7,0.6,1.6,1.6,102.7
Aderezo italiano,1/2,cucharada,8,8,35,0.1,3.6,0.8,0.6,0.9,2.1,2.1,59.0
Aderezo italiano bajo en calorías,3,cucharada,45,45,48,0.0,4.5,2.1,0.6,0.9,2.7,2.7,354.0
Aderezo italiano cremoso,1/2,cucharada,8,8,28,0.0,2.8,0.8,1.0,0.0,0.0,0.0,57.5
Aderezo italiano cremoso bajo en calorías,4,cucharada,60,60,40,2.0,2.2,6.0,0.8,0.0,0.0,0.0,560.0
Aderezo jalapeño,1/2,cucharada,8,8,33,0.1,3.4,0.7,0.5,2.1,0.6,11.1,30.4
Aderezo mil islas,1/2,cucharada,8,8,28,0.0,2.7,1.1,0.5,0.6,1.5,1.9,52.5
Aderezo ranch,1/2,cucharada,8,8,44,0.0,4.7,0.5,0.8,0.0,0.0,1.3,69.8
Aderezo roquefort,1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
Aderezo ruso,1/2,cucharada,8,8,37,0.1,3.8,0.8,0.6,0.9,2.2,1.5,65.0
Aderezo tipo blue cheese,1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
Aderezo tipo cesar,1/2,cucharada,8,8,33,0.3,3.3,0.5,0.6,0.0,0.0,1.3,95.5
Aderezo tipo francés,1/2,cucharada,8,8,32,0,3.1,1.3,0.7,0.6,1.6,0.0,102.7
Aderezo tipo mil islas,1/2,cucharada,8,8,28,0.0,2.7,1.1,0.5,0.6,1.5,1.9,52.5
Aderezo tipo ranch,1/2,cucharada,8,8,44,0.0,4.7,0.5,0.8,0.0,0.0,1.3,69.8
Aderezo vinagreta casera,2,cucharada,10,10,45,0.0,5.0,0.3,0.9,1.5,2.4,0.0,0.0
Aderezo vinagreta comercial,4,cucharadita,20,20,41,0.0,3.3,2.7,0.7,0.0,0.0,0.0,166.7
Aguacate California,1/3,cucharadita,58,58,54,0.7,5.3,2.1,0.8,2.4,0.6,0.0,3.7
Aguacate de pellejo,1 1/2,pieza,68,68,44,0.5,4.5,2.0,0.7,0.0,0.4,0.0,1.4
Aguacate florida,1/3,pieza,101,101,60,0.8,4.8,4.8,0.9,0.6,0.8,0.0,2.6
Aguacate hass,1/3,pieza,58,58,54,0.7,5.3,2.1,0.8,0.4,0.6,0.0,3.7
Aguacate madiano,1/3,pieza,58,58,44,0.5,4.1,2.3,0.7,0.8,0.6,0.0,1.2
Aguacate verde,1/2,pieza,48,48,46,0.5,4.6,1.5,0.8,0.6,0.5,0.0,1.0
Calahua,1,cucharada,19,19,35,0.5,3.3,1.6,2.9,0.6,0.0,0.0,9.4
Coco,8,g,8,8,41,0.5,4.3,0.9,0.0,0.5,0.0,0.0,0.0
Coco de aceite,8,g,8,8,41,0.5,4.3,0.9,0.0,0.0,0.0,0.0,0.0
Coco deshidratado,6,g,6,6,40,0.4,3.9,1.5,3.5,0.0,0.0,0.0,2.1
Coco en hojuelas,2,cucharada,9,9,44,0.3,3.0,4.4,2.6,0.0,0.0,0.0,23.6
Coco entero,25,g,25,14,42,0.5,4.6,0.7,4.1,0.5,0.1,0.0,3.2
Coco fresco,12,g,12,12,42,0.4,4.0,1.8,3.6,0.2,0.1,0.0,2.4
Coco rallado,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
Coco rallado y endulzado,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
Ccoc seco,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
Coco seco y endulzado,1 1/2,cucharada,9,9,44,0.3,3.1,4.2,2.7,0.1,0.0,0.0,22.9
Coquito,8,g,8,6,41,0.5,4.3,0.9,0.0,0.0,0.0,0.0,0.0
Crema,1,cucharada,15,15,43,0.0,3.2,2.1,2.1,0.0,0.0,10.7,0.0
Crema 20% grasa (dulce),1 1/3,cucharada,21,21,41,0.6,4.1,0.8,2.6,1.0,0.1,14,8.5
Crema 40% grasa (agria),1,cucharada,13,13,45,0.3,4.8,0.4,3.0,1.2,0.1,17.8,4.9
Crema ácida,2,cucharada,21,21,46,0.7,4.4,0.9,2.8,1.2,0.2,8.8,10.5
Crema agria,1,cucharada,13,13,44,0.3,4.8,0.4,3.0,1.2,0.1,17.6,4.9
Crema batida,1 1/2,cuchrada,12,12,42,0.2,4.4,0.3,2.8,1.3,0.2,16.8,4.8
Crema batida en aerosol,5,cucharada,15,15,40,0.5,3.5,2.0,2.0,1.0,0.0,10.0,20.0
Creama chantilly,1 1/2,cucharada,12,12,42,0.2,4.4,0.3,2.8,1.3,0.2,16.8,4.8
Creama de coco dulce,3,cucharadita,19,19,36,0.2,3.1,10.1,2.9,0.1,0.0,0.0,6.8
Creama de coco natural,3,cucharadita,15,15,50,0.5,5.2,1.0,4.6,0.2,0.1,0.0,0.6
Crema de leche en polvo,4,cucharadita,8,8,44,0.4,2.8,4.4,2.4,0.1,0.0,0.0,14.5
Crema dulce,4,cucharadita,19,19,36,0.5,3.6,0.7,2.2,0.9,0.1,12.3,7.5
Crema dulce para batir,4,cucharadita,19,19,36,0.5,3.6,0.7,2.2,0.9,0.1,12.3,7.5
Crema entera,1,cucharada,14,14,41,0.3,4.3,0.4,2.7,1.3,0.1,15.9,4.7
Crema Lala Light,5,cucharada,80,80,39,0.8,3.4,1.4,ND,ND,ND,ND,0.0
Crema ligera,1,cucharada,14,14,41,0.3,4.3,0.4,2.7,1.3,1.3,15.9,4.7
Crema natural,1,cucharada,15,15,43,0.0,3.2,2.1,2.1,0.0,0.0,10.7,0.0
Crema para batir,1 1/2,cucharada,21,21,41,0.6,4.1,0.8,2.5,1.0,0.1,13.9,8.4
Crema para café,1,cucharada,14,14,41,0.3,4.3,0.4,2.7,1.3,0.1,15.9,4.7
Dip,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
Dip de cebolla,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
Dip preparado,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
Dip preparado con crema,2,cucharada,30,30,48,1.0,3.9,1.9,2.9,0.0,0.0,19.4,154.8
Grasa de tocino,5,g,5,5,44,0.0,5.0,0.0,2.2,2.1,0.6,4.8,0.0
Grasas animales,5,g,5,5,44,0.0,5.0,0.0,2.2,2.1,0.6,4.8,0.0
Grasas vegetales para cocinar,5,g,5,5,44,0.0,5.0,0.0,1.2,3.3,0.4,0.0,0.0
Guacamole,2,cucharada,28,28,46,1.0,3.7,2.7,0.0,0.0,0.0,0.0,195.7
Lardo,5,g,5,5,45,0.0,5.0,0.0,2.0,2.1,0.5,4.8,0.0
Manteca de cerdo,1,cucharadita,4,4,39,0.0,4.3,0.0,1.7,2.0,0.5,4.0,0.0
Manteca vegetal,1,cucharadita,4,4,38,0.0,4.3,0.0,1.1,1.9,1.1,0.0,0.0
Mantequilla,1 1/2,cucharadita,6,6,47,0.1,5.3,0.0,3.3,1.3,0.1,14.2,0.6
Mantequilla con sal,1 1/2,cucharadita,6,6,47,0.1,5.3,0.0,3.3,1.3,0.1,14.2,53.6
Mantequilla derretida,1,cucharadita,5,5,36,0.0,4.1,0.0,2.5,1.0,0.1,11.0,0.5
Mantequilla Lala Reducida en grasa,7,cucharada,84,84,32,0.2,3.4,0.2,ND,ND,ND,ND,11.8
Mantequilla sin sal,1 1/2,cucharadita,6,6,47,0.1,5.3,0.0,3.3,1.3,0.1,14.2,0.6
Margarita,1,cucharadita,4,4,39,0.0,4.3,0.0,1.7,1.9,0.5,2.3,0.0
Margarita baja en grasa,2 1/2,cucharadita,11,11,42,0.0,5.0,0.0,0.0,0.0,0.0,0.0,108.3
Margarita con sal,1 1/2,cucharadita,6,6,47,0.1,5.2,0.1,1.0,2.3,1.6,0.0,61.2
Margarita sin sal,1,cucharadita,4,4,39,0.0,4.3,0.0,1.7,1.9,0.5,2.3,0.0
Mayonesa,1,cucharadita,5,5,34,0.1,3.6,0.2,0.6,2.2,0.7,12.1,27.8
Media crema,2,cucharada,30,30,40,0.8,3.4,1.2,2.2,1.0,0.2,12.0,12.0
Pam,5,disp.de un segundo,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
Praliné,1/2,cucharada,8,8,36,0.2,1.9,5.0,0.1,1.2,0.5,0.0,4.9
Queso crema,1,cucharada,13,13,46,1.0,4.6,0.4,2.9,1.3,0.2,14.4,39.0
Queso crema bajo en grasa,1,cucharada,13,13,32,1.1,3.0,0.3,2.1,0.0,0.0,6.1,51.1
Queso crema untable,1,cucharada,10,10,37,0.7,3.7,0.3,2.3,0.0,0.0,11.6,31.6
Queso Philadelphia,1,cucharada,13,13,46,1.0,4.6,0.4,2.9,1.3,0.2,14.4,39.0
Salsa alfredo,1,cucharada,14,14,44,0.7,4.3,0.8,0.0,0.0,0.0,7.0,50.8
Salsa holandesa industrializada,1/2,cucharada,8,8,44,0.9,3.7,2.6,2.2,1.1,0.2,9.4,292.0
Salsa tártara industrializada,1,cucharadita,16,16,52,0.0,5.2,2.1,2.1,0.0,0.0,5.2,93.0
Salsa tártara sin grasa,4,cucharada,62,62,48,0.0,2.0,9.7,0.8,0.0,0.0,0.0,406.9
Salsa velouté,1 1/2,cucharada,21,21,38,0.6,3.4,1.1,0.0,0.0,0.0,8.6,98.3
Tocino,1,rebanada delgada,8,8,44,0.7,4.6,0.0,1.7,2.0,0.5,5.4,54.8
Tocino ahumado,1,rebanada delgada,8,8,44,0.7,4.6,0.0,1.7,2.0,0.5,5.4,54.8
Tocino en lonja,8,g,8,8,44,0.7,4.6,0.0,1.7,2.0,0.5,5.4,54.8
Tocino frito,1,rebanada   ,7,7,39,0.6,4.0,0.0,0.0,0.0,0.0,5.7,48.0
Tocino imitación,1,cucharada,10,10,41,1.0,3.9,0.1,0.0,0.0,0.0,6.7,96.7
Vinagreta,1/2,cucharada,8,8,36,0.0,4.0,0.2,0.8,1.2,2.0,0.0,0.0
Vinagreta baja en calorías,5,cucharada,80,80,38,0.0,0.0,7.5,0.0,0.0,0.0,0.0,1000.0
Vinagreta comercial,1 1/2,,23,23,46,0.0,3.8,3.0,0.8,0.0,0.0,0.0,187.5