ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg),Azúcares por equivalente (g),Indica glicémico (g),Carga glicémica
Aderezos para ensalada bajos en calorías y grasa,1/3,taza,85,85,40,0.0,0.0,8.0,1066.6,8.0,ND,ND
Agua quina,1/3,lata,117,117,42,0.0,0.0,11.1,16.3,11.1,ND,ND
Ate,13,g,13,13,41,0.4,0.1,9.8,0.0,9.2,51.0,5.0
Ate de guayaba,13,g,13,13,41,0.4,0.1,9.8,0.0,9.2,51.0,5.0
Ate de membrillo,13,g,13,13,41,0.4,0.1,9.8,0.0,9.2,51.0,5.0
Azúcar blanca,2,cucharadita,8,8,33,0.0,0.0,8.4,0.0,8.4,68.0,5.7
Azúcar de mesa,2,cucharadita,8,8,33,0.0,0.0,8.4,0.0,8.4,68.0,5.7
Azúcar glass,4,cucharadita,10,10,39,0.0,0.0,10.0,0.1,9.8,68.0,6.8
Azúcar granulada,2,cucharadita,8,8,33,0.0,0.0,8.4,0.0,8.4,68.0,5.7
Azúcar mascabado,2,cucharadita,10,10,36,0.0,0.0,9.1,3.0,9.1,68.0,6.2
Azúcar morena,3,cucharadita,9,9,34,0.0,0.0,8.8,2.5,8.7,68.0,6.0
Bebida láctea fermentada,21,pieza,80,80,50,0.9,0.2,11.7,0.0,11.4,46.0,5.4
Bebida para deportistas,1/4,bote sport,152,152,40,0.0,0.0,9.8,59.4,8.0,78.0,7.6
Bebida para deportistas en polvo,2,cucharadita,10,10,36,0.0,0.0,9.5,60.3,9.0,78.0,7.4
Boost *,1/3,lata,78,78,33,0.3,0.0,7.9,0.6,7.9,ND,ND
Bubbaloo xtreme,1/2,pieza,8,8,33,0.1,0.0,8.1,0.2,5.7,ND,ND
Bubulubu,1/3,pieza,12,12,46,0.1,0.9,9.2,38.5,6.6,ND,ND
Burn *,1/5,lata,62,62,36,0.2,0.0,9.0,28.0,9.0,ND,ND
Café capuchino helado,1/3,taza,80,80,43,0.7,0.8,8.0,40.0,7.0,ND,ND
Café capuchino instantáneo,2,cucharadita,8,8,32,0.2,0.4,6.9,14.4,5.5,ND,ND
Cajeta,1 1/2,cucharadita,9,9,36,0.5,1.0,6.4,7.7,ND,ND,ND
Caramelo,2,pieza pequeña,12,12,47,0.0,0.0,11.8,4.6,7.5,ND,ND
Caramelo de mantequilla,2,pieza,11,11,45,0.0,0.4,10.8,4.8,10.8,ND,ND
Caramelo macizo,2,pieza pequeña,12,12,47,0.0,0.0,11.8,4.6,7.5,ND,ND
Caramelo salvavidas,4,pieza,10,10,40,0.0,0.0,10.0,0,10.0,70.0,7.0
Cáscara de naranja cristalizada,10,g,10,10,32,0.0,0.0,8.2,0.0,ND,ND,ND
Castaña,2,pieza,22,22,44,0.4,0.3,9.9,0.4,ND,ND,ND
Castaña con cáscara,2,pieza,30,18,39,0.4,0.4,8.3,0.5,ND,ND,ND
Castaña asada,12,g,12,12,44,0.6,0.5,9.4,4.4,ND,ND,ND
Chewy candy,1/2,pieza,13,13,44,0,0.2,10.5,26.1,7.2,ND,ND
Chicle,5,pieza,15,15,37,0.0,0.0,9.9,0.2,9.9,ND,ND
Chicle bajo en azúcar,6,pieza,12,12,32,0.0,0.0,11.4,0.8,ND,ND,ND
Chicloso,1,pieza,12,12,46,0.3,1.1,8.7,15.5,5.4,ND,ND
Chocolate en polvo sin azúcar,2,cucharadita,10,10,40,2.0,1.0,6.0,ND,4.0,51.0,3.1
Cococa en polvo,2,cucharadita,10,10,40,2.0,1.0,6.0,ND,4.0,51.0,3.1
Conos de helado,3,pieza,12,12,44,0.0,ND,11.1,ND,ND,ND,ND
Crazy dips sabor frutas,1,sobre,12,12,45,0.0,ND,12.0,0.0,ND,ND,ND
Cubierta de chocolate ,2,cucharadita,12,12,48,0.0,1.3,9.1,0.0,0.0,ND,ND
Cubierta de fresa,3,cucharadita,16,16,41,0.0,0.0,10.6,3.4,0.0,ND,ND
Cubierta de piña,3,cucharadita,16,16,40,0.0,0.0,10.6,9.9,0.0,ND,ND
Cueritos de fruta,1/2,pieza,11,11,39,0.0,0.3,9.0,33.3,5.2,99.0,8.9
Flan en polvo,1,cucharada,12,12,42,0.0,0.0,11.0,51.8,ND,ND,ND
Fruta cristalizada,15,g,15,15,45,0.5,0.1,11.0,0.0,11.0,103.0,11.4
Gatorade variedad de sabores,200,ml,200,200,46,0.0,0.0,11.6,91.6,11.6,ND,ND
Gelatina,1/3,taza,59,59,37,0.7,0.0,8.4,44.6,8.0,ND,ND
Gelatina de sabor en polvo,10,g,10,10,38,0.8,0.0,9.1,46.6,8.6,ND,ND
Gelatina en polvo para agua,10,g,10,10,38,0.8,0.0,9.1,46.6,8.6,ND,ND
Gelatina en polvo para leche,10,g,10,10,38,0.8,0.0,9.1,46.6,8.6,ND,ND
Gelatina preparada,4 1/2,cucharada,72,72,45,0.9,0.0,10.2,54.0,9.7,ND,ND
Gomitas,4,pieza,12,12,42,0.5,0.0,10.2,0.0,7.1,ND,ND
Halls nite,1/2,pieza,8,8,31,0.1,0.0,7.6,0.0,5.5,ND,ND
Jalea,2,cucharadita,13,13,42,0.0,0.0,10.7,3.3,6.5,ND,ND
Jarabe de chocolate,1,cucharada,18,18,49,0.4,0.2,11.4,12.7,8.7,ND,ND
Jarabe de sabor para preparar agua,1,cucharada,17,17,41,0.0,0.1,11.2,0.0,ND,ND,ND
Jugo de caña de azucar,1/4,taza,60,60,50,0.2,0.1,12.3,ND,ND,ND,ND
Jugo de ciruela pasa,1/4,taza,64,64,45,0.4,0.0,11.2,2.6,10.5,ND,ND
Jugo de citricos preparados con agua,1/3,taza,80,80,37,0.2,0.0,9.2,3.2,6.5,50.0,4.6
Jugo de fruta concentrado,20,g,20,20,45,0.8,0.3,10.1,1.0,10.0,50.0,5.1
Jugod e frutas,1/3,taza,80,80,40,0,0.0,10.0,53.3,10.0,50.0,5.0
"Jugo de zanahoria, manzana y 3 frutas citricas",1/3,taza,80,80,39,0,0.0,9.7,6.4,9.0,ND,ND
Jugo natural´es de Lala,1,pieza,125,125,28,0.5,0.0,6.5,3.8,6.5,ND,ND
Leche condensada,2,cucharadita,11,11,36,0.9,1.0,6.1,14.2,6.1,61.0,3.7
Leche condensada light,1,cucharada,16,16,45,1.4,0.1,9.6,16.5,ND,ND,ND
Leche en polvo sabor chocolate con malbavisco,2,cucharada,14,14,56,0.6,0.3,12.6,19.0,11.5,ND,ND
leche en polvo sabor fudge de chocolate,2,cucharada,14,14,56,0.6,0.3,12.6,19.0,11.5,ND,ND
Malvavisco,2,pieza,14,14,45,0.3,0.0,11.4,11.2,8.1,ND,ND
Malvavisvo miniatura,18,pieza,13,13,40,0.2,0.0,10.2,10.1,7.3,ND,ND
Melaza,2 1/2,cucharadita,13,13,36,0.0,0.0,8.9,6.1,ND,ND,ND
Mentas de caramelo,6,pieza,10,10,41,0.0,0.0,10.2,0.0,10.2,70.0,7.1
"Merngue ""duro""",11,pieza pequeña,11,11,42,0.2,0.0,10.2,0.0,ND,ND,ND
Mermelada,2 1/2,cucharadita,17,17,41,0.1,0.0,10.0,0.2,8.1,48.0,4.8
Mermelada con frustosa,2 1/2,cucharada,43,43,40,0.0,0.0,10.0,50.0,10.0,ND,ND
"Mermelada de fruta, menos azucar",2,cucharada,30,30,40,0.0,0.0,9.9,0.0,9.9,ND,ND
miel  ,2,cucharadita,14,14,43,0.0,0.0,11.5,0.6,11.5,55.0,6.3
Miel de abeja,2,cucharadita,14,14,43,0.0,0.0,11.5,0.6,11.5,55.0,6.3
Miel de caña,2,cucharadita,12,12,35,0.1,0.0,8.7,ND,ND,ND,ND
Miel de maiz,2,cucharadita,12,12,36,0.0,0.0,9.0,8.2,ND,ND,ND
Miel de jarabe sabor maple,2,cucharadita,12,12,31,0.0,0.0,8.1,1.1,7.1,ND,ND
Monster Energy*,1/5,lata,96,96,72,0.0,0.0,11.0,72.0,11.0,ND,ND
Monster Kaos*,1/5,lata,96,96,36,0.4,0.0,8.4,6.0,8.4,ND,ND
Mousse de chocolate sin grasa,1/4,taza,50,50,47,1.0,0.2,10.4,55.0,7.9,31.0,3.2
Néctar de fruta,1/4,taza,63,63,38,0.1,0.0,9.9,2.5,9.5,54.0,5.3
Nescafe Dolca gusto Nestea peach,2,cápsula,12,12,42,0.0,0.0,10.0,0.0,10.0,ND,ND
Nieves de frutas,40,g,40,40,40,0.2,0.1,9.7,0.0,9.7,ND,ND
Obelas de cajeta,1,pieza chica,7,7,30,0.7,0.7,5.3,15.3,5.3,ND,ND
Paleta de caramelo,2,pieza,12,12,44,0.0,0.0,11.8,0.0,11.8,70.0,8.3
Paleta helada de agua,1,pieza,52,52,41,0.0,0.1,10.0,3.6,7.1,ND,ND
Paleta helada de fruta,1/2,pieza,46,46,38,0.6,0.1,9.3,2.0,9.3,ND,ND
Paleta helada de fruta sin azúcar,3,pieza,153,153,36,0.9,0.3,9.6,9.0,9.6,ND,ND
Paleta helada de yogur sabor coco,1/2,pieza,35,35,47,0.7,0.9,9.1,22.8,9.1,ND,ND
Panditas,1/3,bolsa,15,15,47,0.9,0.0,10.9,1.7,7.6,ND,ND
Pasitas con chocolate,11,pieza,11,11,43,0.5,1.6,7.5,4.0,6.8,ND,ND
Piloncillo,10,g,10,10,36,0.0,0.0,9.1,3.0,9.1,ND,ND
Piloncillo rallado,1,cucharada,10,10,36,0.0,0.0,9.1,3.0,9.1,ND,ND
Ponche de frutas,1/3,taza,79,79,36,0.0,0.0,9.2,4.0,ND,ND,ND
Queso de tuna,13,g,13,13,42,0.2,ND,10.3,ND,ND,ND,ND
Red Bull*,1/3,lata,83,83,37,0.2,0.1,9.0,69.3,8.3,ND,ND
Refresco,1/4,lata,92,92,38,0.0,0.0,9.7,3.5,9.7,66.0,6.4
Refresco de cola,1/4,lata,92,92,38,0.0,0.0,9.7,3.5,9.7,58.0,5.6
Refresco de frutas,1/4,lata,89,89,44,0.0,0.0,11.1,59.2,11.1,ND,ND
Salsa catsup,2,cucharada,30,30,29,0.5,0.1,7.6,334.2,6.8,ND,ND
Salsa de manzana,1,cucharada,16,16,42,0.1,0.0,10.7,37.1,7.2,ND,ND
Salsa de tamarindo,25,g,25,25,40,0.3,0.7,8.8,131.5,3.5,ND,ND
Salsa demiglass,1/3,taza,63,63,36,1.3,0.5,7.5,576.2,3.5,ND,ND
Skwinkes clásicos,1/2,paquete,10,10,35,0.5,0.2,8.1,75.0,5.0,ND,ND
So be rush,1/3,lata,99,99,52,0.4,0.0,10.7,43.6,10.7,ND,ND
Té helado en polvo,4,cucharadita,10,10,41,0.0,0.1,10.1,0.5,9.7,ND,ND
Tribu *,1/4,lata,63,63,30,0.3,0.0,7.0,47.5,7.0,ND,ND
,,,,,,,,,,,,
*Bebida energética con cafeína,,,,,,,,,,,,